title,author,link
RANCANG BANGUN APLIKASI UNTUK MEMPREDIKSI STATUS GIZI BALITA,Muhammad Nurtanzis Sutoyo,http://klik.ulm.ac.id/index.php/klik/article/view/140
MODEL ARSITEKTUR NEURAL NETWORK DENGAN BACKPROPOGATION PADA PREDIKSI TOTAL LABA RUGI KOMPREHENSIF BANK UMUM KONVENSIONAL,"Agus Perdana Windarto,Muhammad Ridwan Lubis,Solikhun Solikhun",http://klik.ulm.ac.id/index.php/klik/article/view/148
OPTIMASI PENDISTRIBUSIAN BARANG FARMASI MENGGUNAKAN ALGORITMA GENETIKA,"Febri Ramadhani,Ficry Agam Fathurrachman,Restu Fitriawanti,Angki Christiawan Rongre,Vivi Nur Wijayaningrum",http://klik.ulm.ac.id/index.php/klik/article/view/151
IMPLEMENTASI ALGORITMA BACKPROPAGATION UNTUK MEMPREDIKSI KELULUSAN MAHASISWA,Muhammad Dedek Yalidhan,http://klik.ulm.ac.id/index.php/klik/article/view/152
PREDIKSI PROFIT PADA PERUSAHAAN DENGAN KLASIFIKASI ALGORITMA C4.5,Erlin Elisa,http://klik.ulm.ac.id/index.php/klik/article/view/153
PENERAPAN METODE K-MEANS UNTUK PEMETAAN CALON PENERIMA JAMKESDA,"M. Nanda Variestha Waworuntu,Muhammad Faisal Amin",http://klik.ulm.ac.id/index.php/klik/article/view/157
RANCANG BANGUN ALAT UKUR PANJANG KAKI DAN PENENTU STOK SEPATU YANG TERSEDIA SECARA DIGITAL MENGGUNAKAN ARDUINO MEGA 2560 BERBASIS WEBSITE,"Asep Hermawan,Abdul Muid,Irma Nirmala",http://klik.ulm.ac.id/index.php/klik/article/view/169
THE APPLICATION OF UML IN THE PROTOTYPE OF DESIGN EXPERT SYSTEM FOR THE DIAGNOSIS OF CHILI DISEASES AND PESTS,"Muliadi Aziz,Irwan Budiman,Antar Sofyan",http://klik.ulm.ac.id/index.php/klik/article/view/175
IMPLEMENTASI FUZZY SUGENO UNTUK MENENTUKAN  KESESUAIAN TANAMAN KELAPA SAWIT PADA LAHAN GAMBUT,"Andi Farmadi,Ichsan Ridwan,Dwi Kartini",http://klik.ulm.ac.id/index.php/klik/article/view/176
ANALYTICAL HIERARCHY PROCESS DAN FUZZY TOPSIS PADA SISTEM PENDUKUNG KEPUTUSAN PROMOSI JABATAN PADA PT.BANDAR MADANI 165,Andi Supriadi Chan,http://klik.ulm.ac.id/index.php/klik/article/view/94
PERANCANGAN WEBSITE PROMOSI WISATA DAN RENTAL MOBIL PADA BINTAN INTERNAL RENTAL,Nurul Azwanti,http://klik.ulm.ac.id/index.php/klik/article/view/95
PENERAPAN DATA MINING UNTUK ANALISIS POLA PEMBELIAN KONSUMEN DENGAN ALGORITMA FP-GROWTH PADA DATA TRANSAKSI PENJUALAN SPARE PART MOTOR,"Algifanri Maulana,Alfannisa Annurullah Fajrin",http://klik.ulm.ac.id/index.php/klik/article/view/100
